city_name,job_id,benefits,bid,campaign_budget,campaign_id,company_logo,company_name,description,feed_id,lat,lon,major_category,minor_category,pay_currentcy,pay_from,pay_option,pay_to,pay_type,postal_code,requirements,state,status,title,work_schedule
Lakewood,455,"['Flexible and remote working options', 'Life insurance']",0,,58,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,40.0765,-74.2032,Construction / Facilities,Masonry - Finishing,,3000,0,,1,08701,['Sleep'],New Jersey,2,Job 452,Part Time
Lakewood,437,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,5,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,40.0765,-74.2032,Construction / Facilities,Finish Carpenter,,2000,0,,1,08701,"['Javascript', 'C#']",New Jersey,1,Job 338,Part Time
Lakewood,419,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,57,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,40.0765,-74.2032,Capital Markets,Trader,,2000,0,,1,08701,['Javascript'],New Jersey,2,Job 935,Part Time
Lakewood,402,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,57,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,40.0765,-74.2032,Capital Markets,Trader,,2000,0,,1,08701,['Javascript'],New Jersey,2,Job 935,Part Time
Lakewood,394,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,57,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,40.0765,-74.2032,Capital Markets,Trader,,2000,0,,1,08701,['Javascript'],New Jersey,2,Job 935,Part Time
Lakewood,367,['Retirement benefit or accounts'],0,,59,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,40.0765,-74.2032,Capital Markets,Trader,,2000,0,,1,08701,['mySql'],New Jersey,2,Job 1130,Part Time
Lakewood,349,"['Health insurance', 'Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days']",0,,15,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,40.0765,-74.2032,Capital Markets,Trader,,2000,0,,1,08701,"['Javascript', 'C#']",New Jersey,1,Job 1128,Full Time
Lakewood,92,"['Paid time off (PTO) such as sick day and vacation days', 'Life insurance']",0,,5,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123,,40.0765,-74.2032,Capital Markets,Trader,,,,,,08701,"['Javascript', 'C#']",New Jersey,5,123,Part Time
Lakewood,83,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,40.0765,-74.2032,Capital Markets,Trader,,,,,,08701,['Javascript'],New Jersey,2,123,Full Time
Garland,254,"['Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options', 'Life insurance', 'Retirement benefit or accounts']",0,,9,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,We are currently seeking a new Frontend Developer to join our expanding team.,,32.9277,-96.6201,Capital Markets,Trader,,2000,0,,1,75040,"['Javascript', 'C#', 'mySql']",Texas,2,PHP 1,Full Time
Sunland Park,326,"['Health insurance', 'Flexible and remote working options', 'Retirement benefit or accounts']",0,,97,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,31.8183,-106.599,Capital Markets,Trader,,123,0,,1,88063,"['Javascript', 'C#', 'mySql']",New Mexico,1,Job 220,Full Time
Sunland Park,260,"['Health insurance', 'Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,93,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Description,,31.8183,-106.599,Capital Markets,Trader,,2000,0,,1,88063,"['Javascript', 'C#']",New Mexico,2,Job 1130,Full Time
Maywood,2057,['Life insurance'],0,,221,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Decsc,,33.988,-118.186,Emergency Services / Enforcement,Parking Enforcement,,1000,2,,1,90270,['Sleep'],California,1,Job1700,PART_TIME
Maywood,1840,"['PHP', 'Employee assistance programs(mental and emotional wellbing)']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,tho xay ,,33.988,-118.186,Construction / Facilities,Demolitions,,22222,0,,1,90270,"['Javascript', 'mySql']",California,1,tho xay,FULL_TIME
Maywood,274,"['Health insurance', 'Life insurance', 'Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days', 'Employee assistance programs(mental and emotional wellbing)']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,"Who we are looking for: experienced frontend engineers who will play a central role in building out both the large-scale intelligent products that runs in the cloud to improve patients and doctor experiences. As a member of our dynamic, agile team, you will have influence on defining product features, design and implement products features and drive operational excellence, and spearhead the engineering best practices that enable a high-quality product.",,40.9026,-74.0633,Capital Markets,Trader,,20129,0,,1,07607,"['Javascript', 'C#', 'mySql']",New Jersey,1,BE Việt Nam!,Full Time
Sloughhouse,1912,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,38.5076,-121.102,Construction / Facilities,Demolitions,,3000,0,,1,95683,"['Php', 'aa']",California,1,shipper,FULL_TIME
Holbrook,1097,"['Flexible and remote working options', 'Life insurance']",0,,144,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,normal,,40.7949,-73.0703,Construction / Facilities,Highway Maintenance,,1000,0,,1,11741,"['Javascript', 'mySql']",New York,2,Normal developer,Full Time
La Palma,2061,['Life insurance'],0,,221,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Decsc,,33.8504,-118.041,Emergency Services / Enforcement,Parking Enforcement,,1000,2,,1,90623,['Sleep'],California,1,Job1700,PART_TIME
La Palma,1932,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,dessc,,33.8504,-118.041,Capital Markets,Trader,,600,0,,1,90623,"['Php', 'bb']",California,1,crypto digger,FULL_TIME
Anaheim,1365,['Life insurance'],0,,12,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,33.8444,-117.952,Emergency Services / Enforcement,Personal / Private Security,,2000,0,,1,92801,['Sleep'],California,2,Job 1633,Part Time
Anaheim,815,['Health insurance'],0,,15,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,33.8304,-117.906,Construction / Facilities,Line Worker,,2000,0,,1,92805,['Sleep'],California,1,Job 1030,Part Time
Anaheim,745,['Retirement benefit or accounts'],0,,117,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,this is a job,,33.8183,-117.975,Construction / Facilities,Line Worker,,5000,0,,1,92804,['C#'],California,1,Recruit IT BA,Full Time
Anaheim,618,['Health insurance'],0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Java Full Stack Developer,,33.8183,-117.975,Construction / Facilities,Demolitions,,1200,0,,1,92804,"['Java', 'Sprint Boot']",California,1,Java Full Stack Developer,Full Time
Anaheim,520,"['Retirement benefit or accounts', 'Flexible and remote working options', 'Salary']",0,,101,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.8304,-117.906,Emergency Services / Enforcement,Parking Enforcement,,2000,0,,1,92805,"['Javascript', 'Php', 'Laravel']",California,1,Job 1227,Part Time
Anaheim,170,['Health insurance'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.8444,-117.952,Capital Markets,Trader,,1234,0,,1,92801,['Javascript'],California,2,Job1203,Full Time
Anaheim,122,['Health insurance'],0,,10,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.8444,-117.952,Capital Markets,Trader,,,,,,92801,['Javascript'],California,1,Job 132,Full Time
Anaheim,75,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,33.8183,-117.975,Capital Markets,Trader,,,,,,92804,['Javascript'],California,2,123,Full Time
Mercedita,1358,['Eat'],0,,12,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,18.0117,-66.5599,Construction / Facilities,Masonry - Finishing,,2000,0,,1,00715,['Sleep'],Puerto Rico,2,Job 1631,Part Time
Costa Mesa,172,['Health insurance'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.6789,-117.908,Capital Markets,Trader,,1234,0,,1,92626,['Javascript'],California,2,Job1203,Full Time
Costa Mesa,132,['Health insurance'],0,,10,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,33.6479,-117.92,Capital Markets,Trader,,,,,,92627,['Javascript'],California,1,Job 132,Full Time
Rosharon,1829,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.3814,-95.4622,Finance,Financial Advisor,,2000,2,,1,77583,['mySql'],Texas,1,Data Analyst,FULL_TIME
Rosharon,1540,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.3814,-95.4622,Finance,Financial Advisor,,2000,0,,1,77583,['mySql'],Texas,1,Data Analyst,FULL_TIME
Richmond,1824,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.48,-95.6831,Finance,Financial Advisor,,2000,2,,1,77469,['mySql'],Texas,1,Data Analyst,FULL_TIME
Richmond,1535,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.48,-95.6831,Finance,Financial Advisor,,2000,0,,1,77469,['mySql'],Texas,1,Data Analyst,FULL_TIME
Richmond,931,"['Health insurance', 'Life insurance']",0,,122,,test,developer 1407 0933,,29.6765,-95.7125,Construction / Facilities,Foreman,,1000,0,,1,77407,"['mySql', 'Sleep']",Texas,1,developer 1407 0933,Part Time
Richmond,922,"['Health insurance', 'Life insurance']",0,,122,,test,test 1407 0924,,29.6765,-95.7125,Construction / Facilities,Foreman,,1000,0,,1,77407,"['C#', 'Sleep']",Texas,1,test 1407 0924,Part Time
Richmond,913,['Flexible and remote working options'],0,,122,,test,job123123123344324,,29.6765,-95.7125,Construction / Facilities,Line Worker,,222,0,,1,77407,['C#'],Texas,1,job123123123344324,Part Time
Richmond,852,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job test by lta 712 301,,29.6765,-95.7125,Construction / Facilities,Demolitions,,1234,0,,1,77407,"['bb', 'Sleep']",Texas,1,create job test by lta 712 301,Full Time
Richmond,844,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,create job test by lta 712 259,,29.6765,-95.7125,Construction / Facilities,Line Worker,,1241,0,,1,77407,"['C#', 'aa', 'Php']",Texas,1,create job test by lta 712 259,Part Time
Richmond,781,['Health insurance'],0,,11,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,29.6765,-95.7125,Education / Higher Education,Speech Pathologist,,2222,0,,1,77407,['Javascript'],Texas,1,Job 1550,Part Time
Richmond,654,['Flexible and remote working options'],0,,5,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Description,,29.6765,-95.7125,Construction / Facilities,Masonry - Finishing,,2000,0,,1,77407,['Javascript'],Texas,2,Job 1052,Full Time
Richmond,639,['Health insurance'],0,,103,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,29.6765,-95.7125,Education / Higher Education,Teacher - Elementary / Primary,,2000,0,,1,77407,['C#'],Texas,2,Job 957,Part Time
Richmond,631,['Paid time off (PTO) such as sick day and vacation days'],0,,103,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Desc,,29.6436,-95.798,Executive,Regional / Divisional VP,,2000,0,,1,77406,['C#'],Texas,2,Job 2239,Part Time
Richmond,580,"['PHP', 'Retirement benefit or accounts']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,123,,29.6765,-95.7125,Government,City Official - Non Elected,,1000,0,,1,77407,['Php'],Texas,1,Java BE,Full Time
Richmond,568,['Employee assistance programs(mental and emotional wellbing)'],0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,12,,29.6765,-95.7125,Finance,Auditors1,,100,0,,1,77407,"['Javascript', 'Php']",Texas,1,PHP FE,Part Time
Richmond,504,"['Health insurance', 'Life insurance']",0,,100,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,123,,29.6765,-95.7125,Construction / Facilities,Foreman,,123,0,,1,77407,"['Javascript', 'C#']",Texas,1,123,Part Time
Richmond,468,"['Life insurance', 'SOS', 'Nha']",0,,55,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,29.6765,-95.7125,Education / Higher Education,Teacher - Preschool,,2000,0,,1,77407,"['Javascript', 'C#', 'aa', 'bb']",Texas,1,Job 1136,Full Time
Richmond,210,"['Life insurance', 'Flexible and remote working options']",0,,4,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,29.6436,-95.798,Capital Markets,Trader,,1000,0,,1,77406,['Javascript'],Texas,2,Job 1141,Full Time
Richmond,158,"['Life insurance', 'Health insurance', 'Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days', 'Retirement benefit or accounts', 'Employee assistance programs(mental and emotional wellbing)']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Frontend,,29.6765,-95.7125,Capital Markets,Trader,,1000,0,,1,77407,['Javascript'],Texas,2,Job Frontend,Full Time
Richmond,59,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,29.6765,-95.7125,Capital Markets,Trader,,,,,,77407,['Javascript'],Texas,2,123,Full Time
College Point,1951,['Employee assistance programs(mental and emotional wellbing)'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,test,,40.785,-73.8417,Education / Higher Education,Teaching Assistant,,3303,2,,1,11356,['Javascript'],New York,1,hackerr,FULL_TIME
Edinburg,1299,['Life insurance'],0,,70,,FPT - managed,adasd,,26.2792,-98.1832,Construction / Facilities,Highway Maintenance,,123,2,,1,78539,['C#'],Texas,1,Who your daddy,Full Time
